Date,Company,Open,High,Low,Close,Volume,Price Change %
7/18/2025,AMZN,225.14,226.4,222.98,226.13,37833800,0.44
7/18/2025,GOOGL,185.4,186.42,183.71,185.06,34014500,-0.18
7/18/2025,META,702.19,704.71,691.65,704.28,12779800,0.3
7/18/2025,NVDA,173.64,174.25,171.26,172.41,146456400,-0.71
7/21/2025,AMZN,225.84,229.69,225.65,229.3,40297600,1.53
7/21/2025,GOOGL,186.25,190.29,186.15,190.1,45803100,2.07
7/21/2025,META,706.8,717,705.76,712.97,9404400,0.87
7/21/2025,NVDA,172.75,173.38,171,171.38,123126100,-0.79
7/22/2025,AMZN,229.68,230,226.35,227.47,37483700,-0.96
7/22/2025,GOOGL,191.5,191.65,187.46,191.34,44660200,-0.08
7/22/2025,META,716.19,716.6,701.41,704.81,8921100,-1.59
7/22/2025,NVDA,171.34,171.39,164.58,167.03,193114300,-2.52
7/23/2025,AMZN,228.47,228.79,227.09,228.29,28294900,-0.08
7/23/2025,GOOGL,191.5,192.53,189.18,190.23,58681900,-0.66
7/23/2025,META,706.37,714.63,704.93,713.58,8771600,1.02
7/23/2025,NVDA,169.53,171.26,167.97,170.78,154082200,0.74
7/24/2025,AMZN,229.17,236,228.64,232.23,42902300,1.34
7/24/2025,GOOGL,197.03,197.95,191,192.17,74881700,-2.47
7/24/2025,META,717.05,723.62,714,714.8,10920800,-0.31
7/24/2025,NVDA,172.44,173.83,171.3,173.74,128984600,0.75
7/25/2025,AMZN,232.22,232.48,231.18,231.44,28712100,-0.34
7/25/2025,GOOGL,191.98,194.33,191.26,193.18,39785900,0.63
7/25/2025,META,716.92,720.65,711.9,712.68,8271700,-0.59
7/25/2025,NVDA,173.61,174.72,172.96,173.5,122316800,-0.06
7/28/2025,AMZN,233.35,234.29,232.25,232.79,26300100,-0.24
7/28/2025,GOOGL,193.65,194.05,190.84,192.58,38139500,-0.55
7/28/2025,META,715.2,724.74,712.68,717.63,8715700,0.34
7/28/2025,NVDA,174.02,177,173.97,176.75,140023500,1.57
7/29/2025,AMZN,234.15,234.72,230.31,231.01,33716200,-1.34
7/29/2025,GOOGL,192.43,195.92,192.08,195.75,41389200,1.73
7/29/2025,META,720,724.47,699.91,700,13267000,-2.78
7/29/2025,NVDA,177.96,179.38,175.02,175.51,154077500,-1.38
7/30/2025,AMZN,231.64,231.8,229.29,230.19,32993300,-0.63
7/30/2025,GOOGL,195.6,197.6,194.69,196.53,32445400,0.48
7/30/2025,META,708.09,708.5,691.2,695.21,27077300,-1.82
7/30/2025,NVDA,176.51,179.89,176.04,179.27,174312200,1.56
7/31/2025,AMZN,235.77,236.53,231.4,234.11,104357300,-0.7
7/31/2025,GOOGL,195.71,195.99,191.09,191.9,51329200,-1.95
7/31/2025,META,775.2,784.75,765.51,773.44,38831100,-0.23
7/31/2025,NVDA,182.9,183.3,175.93,177.87,221685400,-2.75
8/1/2025,AMZN,217.21,220.44,212.8,214.75,122258800,-1.13
8/1/2025,GOOGL,189.03,190.83,187.82,189.13,34832200,0.05
8/1/2025,META,760.73,766,745.31,750.01,19028700,-1.41
8/1/2025,NVDA,174.09,176.54,170.89,173.72,204529000,-0.21
8/4/2025,AMZN,217.4,217.44,211.42,211.65,77710500,-2.64
8/4/2025,GOOGL,190.29,195.27,190.12,195.04,31503400,2.5
8/4/2025,META,760,776.85,758.41,776.37,15763800,2.15
8/4/2025,NVDA,175.16,180.2,174.52,180,147674000,2.76
8/5/2025,AMZN,213.18,216.3,212.87,215.04,26521789,0.87
8/5/2025,GOOGL,194.71,197.86,194.61,195.71,14065261,0.52
8/5/2025,META,776.38,783.13,763,767.47,6440750,-1.15
8/5/2025,NVDA,179.62,180.26,175.9,177.79,84912937,-1.02
